Match_id,Team,Home_Away,Outcome,Goals,Opponent,Team_penalties,Penalties_outcome,Team_points,Match_Stadium,Team_pic_urls,League,Goal_Difference,matchAttendance,matchCity,matchState,matchReferee,match_ast_referee1,match_ast_referee2,match_fourth_official,match_VAR,match_ast_VAR,Possession1,Shots2,Shots_on_Goal3,Blocked_Shots4,Total_Passes5,Passing_Accuracy6,Corners7,Crosses8,Offsides9,Duels_Won10,Won_Tackles11,Saves12,Clearances13,Fouls14,Yellow_Cards15,Red_Cards16,Overall17,Attacking_Half18,Final_Third19,Crosses20,Goals21,On_Target22,Off_Target23,Blocked24,Goals_Conceded25,Shots_Against26,Clean_Sheets27,XG_Conceded28,Interceptions29,Goals30,On_Target31,Off_Target32,Blocked33,Overall34,Attacking_Half35,Final_Third36,Crosses37
6,Montréal,Home,T,2,Pumas,4,W,2,Stade Saputo,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/MTL_logo_Full_Color_480x480.png",MLS,0,"19,619",Montreal, QC,Keylor Herrera Villalobos,William Chow,Diego Blas,Sanchez Bass,Ricardo Montero,Tristley Bassue,46.5,7,4,1,347,71.2,4,7,2,66,12,1,13,16,3,0,71.2,56.9,58.2,9.1,2,4,2,1,2,13,0,1.7,13,2,4,2,1,71.2,56.9,58.2,9.1
6,Pumas,Away,T,2,Montréal,2 ,L,1,Stade Saputo,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-UNAM-480x480_eqz88y.png",Liga MX,0,"19,619",Montreal, QC,Keylor Herrera Villalobos,William Chow,Diego Blas,Sanchez Bass,Ricardo Montero,Tristley Bassue,53.5,13,3,7,391,74.4,2,18,0,66,10,1,6,20,2,0,74.4,63.3,51.7,40,2,3,3,7,2,7,0,0.5,11,2,3,3,7,74.4,63.3,51.7,40
7,New York,Home,T,0,New England,4,W,2,Red Bull Arena,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/RBNY_logo_Full_Color_480x480.png",MLS,0,"9,139",Harrison, NJ,Pierre-Luc Lauziere,Lyes Arfa,Stefan Tanaka-Freundt,Kwinsi Williams,Benjamin Whitty,Diego Montaño Robles,48.3,11,3,1,370,75.4,6,15,1,52,9,2,13,12,1,0,75.4,69.1,71.9,25,0,3,7,1,0,7,1,0.3,10,0,3,7,1,75.4,69.1,71.9,25
7,New England,Away,T,0,New York,2 ,L,1,Red Bull Arena,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/NE_logo_Full_Color_480x480.png",MLS,0,"9,139",Harrison, NJ,Pierre-Luc Lauziere,Lyes Arfa,Stefan Tanaka-Freundt,Kwinsi Williams,Benjamin Whitty,Diego Montaño Robles,51.7,7,2,5,397,77.1,4,15,2,56,10,3,18,10,1,0,77.1,62.9,61.8,10.5,0,2,0,5,0,11,1,1,6,0,2,0,5,77.1,62.9,61.8,10.5
8,Philadelphia,Home,W,3,Tijuana,0,NA,3,Subaru Park,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/PHI_logo_Full_Color_480x480.png",MLS,2,"17,731",Chester, PA,Oshane Nation,Jeremy Hanson,Jeremy Kieso,Lukasz Szpala,Óscar Macías Romo,Mario Terrazas Chávez,61.6,27,17,4,491,88.4,6,14,5,39,4,4,5,14,2,0,88.4,81.5,80.8,31.6,3,17,6,4,1,14,0,1.6,7,3,17,6,4,88.4,81.5,80.8,31.6
8,Tijuana,Away,L,1,Philadelphia,0,NA,0,Subaru Park,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-TIJ-480x480_bzdds9.png",Liga MX,2,"17,731",Chester, PA,Oshane Nation,Jeremy Hanson,Jeremy Kieso,Lukasz Szpala,Óscar Macías Romo,Mario Terrazas Chávez,38.4,14,5,2,309,75.7,2,5,0,44,7,11,18,16,0,2,75.7,66.7,54.9,83.3,1,5,7,2,3,27,0,3.5,12,1,5,7,2,75.7,66.7,54.9,83.3
9,Salt Lake,Home,W,3,Seattle,0,NA,3,America First Field,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/RSL_logo_Full_Color_480x480.png",MLS,3,"10,507",Sandy, Utah,Guillermo Pacheco Larios,Michel Alejandro Morales Morales,Jéssica Fernanda Morales Morales,Iván Antonio López Sánchez,Óscar Mejía García,Fabio Tovar,47.5,19,8,5,443,84.4,4,11,0,30,7,1,11,11,3,1,84.4,79,77.6,40,3,8,6,5,0,7,1,0.3,7,3,8,6,5,84.4,79,77.6,40
9,Seattle,Away,L,0,Salt Lake,0,NA,0,America First Field,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/SEA_logo_Full_Color_480x480.png",MLS,3,"10,507",Sandy, Utah,Guillermo Pacheco Larios,Michel Alejandro Morales Morales,Jéssica Fernanda Morales Morales,Iván Antonio López Sánchez,Óscar Mejía García,Fabio Tovar,52.5,7,1,3,493,85.4,4,10,1,35,7,4,11,5,1,0,85.4,79.6,72.7,33.3,0,1,3,3,3,19,0,1.7,8,0,1,3,3,85.4,79.6,72.7,33.3
10,Portland,Home,W,2,San Jose,0,NA,3,Providence Park,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/POR_logo_Full_Color_480x480.png",MLS,2,"21,137",Portland, Oregon,Víctor Alfonso Cáceres Hernández,William Arrieta,Jose Da Silva,Victor Rivas,Luis Enrique Santander Aguirre,Jozef Batko,48.9,12,5,2,429,80.4,0,6,1,53,8,3,28,12,1,0,80.4,77,74.4,0,2,5,5,2,0,11,1,0.5,14,2,5,5,2,80.4,77,74.4,0
10,San Jose,Away,L,0,Portland,0,NA,0,Providence Park,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/SJ_logo_Full_Color_480x480.png",MLS,2,"21,137",Portland, Oregon,Víctor Alfonso Cáceres Hernández,William Arrieta,Jose Da Silva,Victor Rivas,Luis Enrique Santander Aguirre,Jozef Batko,51.1,11,3,3,430,80.7,5,22,0,58,12,2,8,9,1,0,80.7,67.5,62.3,7.7,0,3,5,3,2,12,0,1.9,12,0,3,5,3,80.7,67.5,62.3,7.7
11,New York City,Home,L,0,Atlas,0,NA,0,Citi Field,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/NYC_logo_Full_Color_480x480.png",MLS,1,"22,267",Queens, NY,Bryan López,Emmanuel Aguirre,José Ojeda,Julio Luna,Óscar Macías Romo,Tristley Bassue,66.7,10,2,2,597,86.8,1,10,4,66,8,4,11,15,1,0,86.8,83.2,70.1,18.2,0,2,6,2,1,10,0,0.5,3,0,2,6,2,86.8,83.2,70.1,18.2
11,Atlas,Away,W,1,New York City,0,NA,3,Citi Field,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-ATL-Dark-480x480_echrk5.png",Liga MX,1,"22,267",Queens, NY,Bryan López,Emmanuel Aguirre,José Ojeda,Julio Luna,Óscar Macías Romo,Tristley Bassue,33.3,10,5,3,293,73,7,7,2,61,13,1,15,20,3,0,73,59.6,51.5,33.3,1,5,2,3,0,10,1,1.5,16,1,5,2,3,73,59.6,51.5,33.3
12,Cincinnati,Home,T,3,Kansas City,4,W,2,TQL Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/CIN_logo_Full_Color_480x480.png",MLS,0,"24,524",Cincinnati, Ohio,Daniel Quintero Huitrón,José de Jesús Baños Caballero,Jonathan Maximiliano Gómez Olmos,Christopher Mason,Luis Enrique Santander Aguirre,Jozef Batko,58.4,21,8,7,526,85.4,5,23,2,62,14,2,5,10,5,0,85.4,79.5,80.6,20,3,8,6,7,3,12,0,2.2,8,3,8,6,7,85.4,79.5,80.6,20
12,Kansas City,Away,T,3,Cincinnati,2 ,L,1,TQL Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/KC_logo_Full_Color_480x480.png",MLS,0,"24,524",Cincinnati, Ohio,Daniel Quintero Huitrón,José de Jesús Baños Caballero,Jonathan Maximiliano Gómez Olmos,Christopher Mason,Luis Enrique Santander Aguirre,Jozef Batko,41.6,11,4,4,386,78.5,5,5,0,40,5,6,28,12,5,1,78.5,70.4,72.4,50,3,4,3,4,3,22,0,2.7,13,3,4,3,4,78.5,70.4,72.4,50
13,Nashville,Home,W,2,Colorado,0,NA,3,GEODIS Park,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/NAS_logo_Full_Color_480x480.png",MLS,1,"16,087",Nashville, Tennessee,David Gómez,Juan Carlos Mora,Carlos Fernandez,Josue David Ugalde Aguilar,Óscar Mejía García,Fabio Tovar,51.2,20,6,5,463,86.8,5,14,2,30,9,3,13,7,1,0,86.8,73.5,65.7,11.1,2,6,9,5,1,18,0,1.2,7,2,6,9,5,86.8,73.5,65.7,11.1
13,Colorado,Away,L,1,Nashville,0,NA,0,GEODIS Park,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/COL_logo_Full_Color_480x480.png",MLS,1,"16,087",Nashville, Tennessee,David Gómez,Juan Carlos Mora,Carlos Fernandez,Josue David Ugalde Aguilar,Óscar Mejía García,Fabio Tovar,48.8,18,4,7,443,86,0,14,0,37,6,4,19,6,0,0,86,79,80.5,14.3,1,4,7,7,2,20,0,1.7,6,1,4,7,7,86,79,80.5,14.3
14,Puebla,Home,L,0,Minnesota,0,NA,0,Allianz Field,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-PUE-480x480_blgkam.png",Liga MX,4,"19,609",St. Paul, MN,Selvin Brown,Roney Salinas,Luis Paz,Raúl Castro,Diego Montaño Robles,Benjamin Whitty,69,14,4,3,531,89.3,6,21,1,49,8,3,10,15,3,0,89.3,80.1,78.6,30.8,0,4,7,3,4,13,0,1.6,11,0,4,7,3,89.3,80.1,78.6,30.8
14,Minnesota,Away,W,4,Puebla,0,NA,3,Allianz Field,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/MIN_logo_Full_Color_480x480.png",MLS,4,"19,609",St. Paul, MN,Selvin Brown,Roney Salinas,Luis Paz,Raúl Castro,Diego Montaño Robles,Benjamin Whitty,31,13,7,1,238,72.7,4,8,1,60,13,4,19,15,0,1,72.7,59.4,60,16.7,4,7,5,1,0,14,1,1.2,10,4,7,5,1,72.7,59.4,60,16.7
15,Columbus,Home,W,2,St. Louis,0,NA,3,Lower.com Field,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/CLB_logo_Full_Color_Black_480x480.png",MLS,1,"20,533",Columbus, Ohio,Reon Radix,Wasnah Shavan Barnarde,Chris Elliott,Okeito Nicholson,Ricardo Montero,Mario Terrazas Chávez,64.5,19,9,6,505,84.8,8,9,2,60,5,2,9,8,2,0,84.8,76.3,73,12.5,2,9,4,6,1,12,0,0.7,9,2,9,4,6,84.8,76.3,73,12.5
15,St. Louis,Away,L,1,Columbus,0,NA,0,Lower.com Field,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/STL_logo_Full_Color_480x480.png",MLS,1,"20,533",Columbus, Ohio,Reon Radix,Wasnah Shavan Barnarde,Chris Elliott,Okeito Nicholson,Ricardo Montero,Mario Terrazas Chávez,35.5,11,2,5,277,72.2,4,8,2,45,17,7,20,15,2,0,72.2,58.5,58.6,27.3,1,2,4,5,2,19,0,1.8,12,1,2,4,5,72.2,58.5,58.6,27.3
16,Miami,Home,W,4,Atlanta,0,NA,3,DRV PNK Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/MIA_logo_Full_Color_480x480.png",MLS,4,"19,758",Fort Lauderdale, Florida,Mario Escobar,Luis Aroldo Ventura,Humberto Panjoj,Julio Luna,Erick Yair Miranda Galindo,Óscar Macías Romo,61.1,12,7,2,575,89.7,2,0,3,27,6,6,22,8,0,1,89.7,80.3,76.5,0,4,7,3,2,0,10,1,1.4,10,4,7,3,2,89.7,80.3,76.5,0
16,Atlanta,Away,L,0,Miami,0,NA,0,DRV PNK Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/ATL_Club_logo_Full_Color_480x480.png",MLS,4,"19,758",Fort Lauderdale, Florida,Mario Escobar,Luis Aroldo Ventura,Humberto Panjoj,Julio Luna,Erick Yair Miranda Galindo,Óscar Macías Romo,38.9,10,6,1,347,85.3,8,13,2,20,2,3,6,9,0,0,85.3,72,70.3,19.1,0,6,3,1,4,12,0,2.5,10,0,6,3,1,85.3,72,70.3,19.1
17,Santos Laguna,Home,T,2,Houston,4 ,L,1,Shell Energy Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-SAN-480x480_lp3xqc.png",Liga MX,0,"12,627",Houston, Texas,Ismael Cornejo,Geovany García Lima,Jose Mangandi,Lukasz Szpala,Diego Montaño Robles,Jorge Abraham Camacho Peregrina,38.2,19,10,6,306,81.7,9,14,3,44,9,2,19,7,3,0,81.7,68.7,70.6,20,2,10,3,6,2,12,0,2.1,14,2,10,3,6,81.7,68.7,70.6,20
